
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
adder/adder_13/inv evCINV_18    TSMC13_Conservative slow  library default
adder/adder_13/mx1 evMUX2_1_83  TSMC13_Conservative slow  library default
adder/adder_13/mx2 evMUX2_1_82  TSMC13_Conservative slow  library default
adder/adder_13/mx3 evMUX2_1_81  TSMC13_Conservative slow  library default
adder/adder_13/mx4 evMUX2_1_80  TSMC13_Conservative slow  library default
adder/adder_14     evLPFA_17    TSMC13_Conservative slow  library default
adder/adder_14/inv evCINV_17    TSMC13_Conservative slow  library default
adder/adder_14/mx1 evMUX2_1_79  TSMC13_Conservative slow  library default
adder/adder_14/mx2 evMUX2_1_78  TSMC13_Conservative slow  library default
adder/adder_14/mx3 evMUX2_1_77  TSMC13_Conservative slow  library default
adder/adder_14/mx4 evMUX2_1_76  TSMC13_Conservative slow  library default
adder/adder_15     evLPFA_16    TSMC13_Conservative slow  library default
adder/adder_15/inv evCINV_16    TSMC13_Conservative slow  library default
adder/adder_15/mx1 evMUX2_1_75  TSMC13_Conservative slow  library default
adder/adder_15/mx2 evMUX2_1_74  TSMC13_Conservative slow  library default
adder/adder_15/mx3 evMUX2_1_73  TSMC13_Conservative slow  library default
adder/adder_15/mx4 evMUX2_1_72  TSMC13_Conservative slow  library default
adder/adder_16     evLPFA_15    TSMC13_Conservative slow  library default
adder/adder_16/inv evCINV_15    TSMC13_Conservative slow  library default
adder/adder_16/mx1 evMUX2_1_71  TSMC13_Conservative slow  library default
adder/adder_16/mx2 evMUX2_1_70  TSMC13_Conservative slow  library default
adder/adder_16/mx3 evMUX2_1_69  TSMC13_Conservative slow  library default
adder/adder_16/mx4 evMUX2_1_68  TSMC13_Conservative slow  library default
adder/adder_17     evLPFA_14    TSMC13_Conservative slow  library default
adder/adder_17/inv evCINV_14    TSMC13_Conservative slow  library default
adder/adder_17/mx1 evMUX2_1_67  TSMC13_Conservative slow  library default
adder/adder_17/mx2 evMUX2_1_66  TSMC13_Conservative slow  library default
