
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/18/synopsys/typical.db
Simulation period[1]: 0 ns - 296801 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Thu Jul 26 14:18:00 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 UMC18_Conservative typical library default
adder/adder_13/mx4 evMUX2_1_12  UMC18_Conservative typical library default
adder/adder_14     evLPFA_1     UMC18_Conservative typical library default
adder/adder_14/inv evCINV_1     UMC18_Conservative typical library default
adder/adder_14/mx1 evMUX2_1_11  UMC18_Conservative typical library default
adder/adder_14/mx2 evMUX2_1_10  UMC18_Conservative typical library default
adder/adder_14/mx3 evMUX2_1_9   UMC18_Conservative typical library default
adder/adder_14/mx4 evMUX2_1_8   UMC18_Conservative typical library default
adder/adder_15     evLPFA_0     UMC18_Conservative typical library default
adder/adder_15/inv evCINV_0     UMC18_Conservative typical library default
adder/adder_15/mx1 evMUX2_1_7   UMC18_Conservative typical library default
adder/adder_15/mx2 evMUX2_1_6   UMC18_Conservative typical library default
adder/adder_15/mx3 evMUX2_1_5   UMC18_Conservative typical library default
adder/adder_15/mx4 evMUX2_1_4   UMC18_Conservative typical library default
nxt_hot_bit_mux    evNonEncodedMux_wdt16 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_0 evNMOS_15 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_1 evNMOS_14 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_2 evNMOS_13 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_3 evNMOS_12 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_4 evNMOS_11 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_5 evNMOS_10 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_6 evNMOS_9  UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_7 evNMOS_8  UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_8 evNMOS_7  UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_9 evNMOS_6  UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_10 evNMOS_5 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_11 evNMOS_4 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_12 evNMOS_3 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_13 evNMOS_2 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_14 evNMOS_1 UMC18_Conservative typical library default
nxt_hot_bit_mux/nms_15 evNMOS_0 UMC18_Conservative typical library default
bypass_reg         evlpRegister_wdt16_1 UMC18_Conservative typical library default
bypass_reg/ff_0    evMS_Rstbl_FlipFlop_46 UMC18_Conservative typical library default
bypass_reg/ff_1    evMS_Rstbl_FlipFlop_45 UMC18_Conservative typical library default
bypass_reg/ff_2    evMS_Rstbl_FlipFlop_44 UMC18_Conservative typical library default
bypass_reg/ff_3    evMS_Rstbl_FlipFlop_43 UMC18_Conservative typical library default
bypass_reg/ff_4    evMS_Rstbl_FlipFlop_42 UMC18_Conservative typical library default
bypass_reg/ff_5    evMS_Rstbl_FlipFlop_41 UMC18_Conservative typical library default
bypass_reg/ff_6    evMS_Rstbl_FlipFlop_40 UMC18_Conservative typical library default
bypass_reg/ff_7    evMS_Rstbl_FlipFlop_39 UMC18_Conservative typical library default
bypass_reg/ff_8    evMS_Rstbl_FlipFlop_38 UMC18_Conservative typical library default
bypass_reg/ff_9    evMS_Rstbl_FlipFlop_37 UMC18_Conservative typical library default
bypass_reg/ff_10   evMS_Rstbl_FlipFlop_36 UMC18_Conservative typical library default
bypass_reg/ff_11   evMS_Rstbl_FlipFlop_35 UMC18_Conservative typical library default
