
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
adder/adder_13/mx2 evMUX2_1_14  TSMC13_Conservative typical library default
adder/adder_13/mx3 evMUX2_1_13  TSMC13_Conservative typical library default
adder/adder_13/mx4 evMUX2_1_12  TSMC13_Conservative typical library default
adder/adder_14     evLPFA_1     TSMC13_Conservative typical library default
adder/adder_14/inv evCINV_1     TSMC13_Conservative typical library default
adder/adder_14/mx1 evMUX2_1_11  TSMC13_Conservative typical library default
adder/adder_14/mx2 evMUX2_1_10  TSMC13_Conservative typical library default
adder/adder_14/mx3 evMUX2_1_9   TSMC13_Conservative typical library default
adder/adder_14/mx4 evMUX2_1_8   TSMC13_Conservative typical library default
adder/adder_15     evLPFA_0     TSMC13_Conservative typical library default
adder/adder_15/inv evCINV_0     TSMC13_Conservative typical library default
adder/adder_15/mx1 evMUX2_1_7   TSMC13_Conservative typical library default
adder/adder_15/mx2 evMUX2_1_6   TSMC13_Conservative typical library default
adder/adder_15/mx3 evMUX2_1_5   TSMC13_Conservative typical library default
adder/adder_15/mx4 evMUX2_1_4   TSMC13_Conservative typical library default
nxt_hot_bit_mux    evNonEncodedMux_wdt16 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_0 evNMOS_15 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_1 evNMOS_14 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_2 evNMOS_13 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_3 evNMOS_12 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_4 evNMOS_11 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_5 evNMOS_10 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_6 evNMOS_9  TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_7 evNMOS_8  TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_8 evNMOS_7  TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_9 evNMOS_6  TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_10 evNMOS_5 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_11 evNMOS_4 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_12 evNMOS_3 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_13 evNMOS_2 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_14 evNMOS_1 TSMC13_Conservative typical library default
nxt_hot_bit_mux/nms_15 evNMOS_0 TSMC13_Conservative typical library default
bypass_reg         evlpRegister_wdt16_1 TSMC13_Conservative typical library default
bypass_reg/ff_0    evMS_Rstbl_FlipFlop_46 TSMC13_Conservative typical library default
bypass_reg/ff_1    evMS_Rstbl_FlipFlop_45 TSMC13_Conservative typical library default
bypass_reg/ff_2    evMS_Rstbl_FlipFlop_44 TSMC13_Conservative typical library default
bypass_reg/ff_3    evMS_Rstbl_FlipFlop_43 TSMC13_Conservative typical library default
bypass_reg/ff_4    evMS_Rstbl_FlipFlop_42 TSMC13_Conservative typical library default
bypass_reg/ff_5    evMS_Rstbl_FlipFlop_41 TSMC13_Conservative typical library default
bypass_reg/ff_6    evMS_Rstbl_FlipFlop_40 TSMC13_Conservative typical library default
bypass_reg/ff_7    evMS_Rstbl_FlipFlop_39 TSMC13_Conservative typical library default
bypass_reg/ff_8    evMS_Rstbl_FlipFlop_38 TSMC13_Conservative typical library default
bypass_reg/ff_9    evMS_Rstbl_FlipFlop_37 TSMC13_Conservative typical library default
bypass_reg/ff_10   evMS_Rstbl_FlipFlop_36 TSMC13_Conservative typical library default
bypass_reg/ff_11   evMS_Rstbl_FlipFlop_35 TSMC13_Conservative typical library default
bypass_reg/ff_12   evMS_Rstbl_FlipFlop_34 TSMC13_Conservative typical library default
bypass_reg/ff_13   evMS_Rstbl_FlipFlop_33 TSMC13_Conservative typical library default
bypass_reg/ff_14   evMS_Rstbl_FlipFlop_32 TSMC13_Conservative typical library default
bypass_reg/ff_15   evMS_Rstbl_FlipFlop_31 TSMC13_Conservative typical library default
feeder_reg         evlpRegister_wdt16_0 TSMC13_Conservative typical library default
feeder_reg/ff_0    evMS_Rstbl_FlipFlop_30 TSMC13_Conservative typical library default
feeder_reg/ff_1    evMS_Rstbl_FlipFlop_29 TSMC13_Conservative typical library default
feeder_reg/ff_2    evMS_Rstbl_FlipFlop_28 TSMC13_Conservative typical library default
